28/02/2019;  440 ; 440
27/02/2019; 200; b''
26/02/2019;  238 ; 238
25/02/2019;  168 ; 168
24/02/2019;  2 ; 2
23/02/2019;  31 ; 31
22/02/2019;  290 ; 290
21/02/2019;  298 ; 298
20/02/2019;  ;  -- erro
19/02/2019;  ;  -- erro
18/02/2019;  ;  -- erro
17/02/2019;  3 ; 3
16/02/2019; 200; b''
15/02/2019;  278 ; 278
14/02/2019;  258 ; 258
13/02/2019;  215 ; 215
12/02/2019;  211 ; 211
11/02/2019;  134 ; 134
10/02/2019;  0 ; 0
09/02/2019;  1 ; 1
08/02/2019;  297 ; 297
07/02/2019;  253 ; 253
06/02/2019;  255 ; 255
05/02/2019;  235 ; 235
04/02/2019;  108 ; 108
03/02/2019;  2 ; 2
02/02/2019;  5 ; 5
01/02/2019;  352 ; 352
