31/07/2011;  3 ; 3
30/07/2011;  2 ; 2
29/07/2011;  296 ; 296
28/07/2011;  278 ; 278
27/07/2011;  262 ; 262
26/07/2011;  388 ; 388
25/07/2011;  336 ; 336
24/07/2011;  0 ; 0
23/07/2011;  2 ; 2
22/07/2011;  347 ; 347
21/07/2011;  450 ; 450
20/07/2011;  248 ; 248
19/07/2011;  228 ; 228
18/07/2011;  181 ; 181
17/07/2011;  0 ; 0
16/07/2011;  5 ; 5
15/07/2011;  429 ; 429
14/07/2011;  446 ; 446
13/07/2011;  562 ; 562
12/07/2011;  460 ; 460
11/07/2011;  423 ; 423
10/07/2011;  1 ; 1
09/07/2011;  5 ; 5
08/07/2011;  312 ; 312
07/07/2011;  362 ; 362
06/07/2011;  420 ; 420
05/07/2011;  264 ; 264
04/07/2011;  231 ; 231
03/07/2011;  0 ; 0
02/07/2011;  2 ; 2
01/07/2011;  424 ; 424
