31/03/2001;  0 ; 0
30/03/2001;  1 ; 1
29/03/2001;  4 ; 4
28/03/2001;  1 ; 1
27/03/2001;  0 ; 0
26/03/2001;  1 ; 1
25/03/2001;  0 ; 0
24/03/2001;  0 ; 0
23/03/2001;  2 ; 2
22/03/2001;  3 ; 3
21/03/2001;  3 ; 3
20/03/2001;  3 ; 3
19/03/2001;  0 ; 0
18/03/2001;  0 ; 0
17/03/2001;  1 ; 1
16/03/2001;  3 ; 3
15/03/2001;  4 ; 4
14/03/2001;  2 ; 2
13/03/2001;  1 ; 1
12/03/2001;  0 ; 0
11/03/2001;  0 ; 0
10/03/2001;  0 ; 0
09/03/2001;  0 ; 0
08/03/2001;  2 ; 2
07/03/2001;  5 ; 5
06/03/2001;  1 ; 1
05/03/2001;  4 ; 4
04/03/2001;  0 ; 0
03/03/2001;  1 ; 1
02/03/2001;  3 ; 3
01/03/2001;  8 ; 8
