31/12/2013;  2 ; 2
30/12/2013;  2 ; 2
29/12/2013;  0 ; 0
28/12/2013;  1 ; 1
27/12/2013;  43 ; 43
26/12/2013;  51 ; 51
25/12/2013;  1 ; 1
24/12/2013;  3 ; 3
23/12/2013;  40 ; 40
22/12/2013;  1 ; 1
21/12/2013;  0 ; 0
20/12/2013;  219 ; 219
19/12/2013;  166 ; 166
18/12/2013;  136 ; 136
17/12/2013;  218 ; 218
16/12/2013;  109 ; 109
15/12/2013;  27 ; 27
14/12/2013;  0 ; 0
13/12/2013;  168 ; 168
12/12/2013;  188 ; 188
11/12/2013;  162 ; 162
10/12/2013;  78 ; 78
09/12/2013;  67 ; 67
08/12/2013;  0 ; 0
07/12/2013;  2 ; 2
06/12/2013;  136 ; 136
05/12/2013;  213 ; 213
04/12/2013;  131 ; 131
03/12/2013;  167 ; 167
02/12/2013;  62 ; 62
01/12/2013;  34 ; 34
