30/09/1999;  0 ; 0
29/09/1999;  1 ; 1
28/09/1999;  0 ; 0
27/09/1999;  0 ; 0
26/09/1999;  0 ; 0
25/09/1999;  0 ; 0
24/09/1999;  1 ; 1
23/09/1999;  0 ; 0
22/09/1999;  2 ; 2
21/09/1999;  1 ; 1
20/09/1999;  0 ; 0
19/09/1999;  0 ; 0
18/09/1999;  0 ; 0
17/09/1999;  1 ; 1
16/09/1999;  2 ; 2
15/09/1999;  1 ; 1
14/09/1999;  2 ; 2
13/09/1999;  1 ; 1
12/09/1999;  0 ; 0
11/09/1999;  0 ; 0
10/09/1999;  2 ; 2
09/09/1999;  2 ; 2
08/09/1999;  0 ; 0
07/09/1999;  0 ; 0
06/09/1999;  0 ; 0
05/09/1999;  0 ; 0
04/09/1999;  0 ; 0
03/09/1999;  0 ; 0
02/09/1999;  1 ; 1
01/09/1999;  1 ; 1
